evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
vectorized,100,500,0.4,2.0,1.0,789,6.314866585467924e-27,0.014633,0.002041,0.006867,0.005724,15.379079,38
vectorized,100,500,0.4,2.0,1.49445,42,2.7676592922205322e-24,0.015813,0.002725,0.007366,0.005722,15.336056,36
vectorized,100,500,0.4,2.0,1.49445,99,1.42332133190544e-23,0.018896,0.003194,0.007849,0.007854,123.284247,38
vectorized,100,500,0.4,2.0,1.49445,123,2.315803482848885e-25,0.017416,0.002573,0.006741,0.008101,22.571241,39
vectorized,100,500,0.4,2.0,1.49445,456,1.4660298668471084e-23,0.017434,0.002375,0.009182,0.005877,9.478558,37
vectorized,100,500,0.4,2.0,1.49445,789,8.660774607082015e-25,0.02945,0.003662,0.016524,0.009264,23.10274,42
vectorized,100,500,0.4,2.0,2.0,42,6.731354744861091e-20,0.018988,0.003893,0.008575,0.00652,24.370278,43
vectorized,100,500,0.4,2.0,2.0,99,7.335181830505226e-24,0.021576,0.004646,0.009429,0.007501,103.186935,54
vectorized,100,500,0.4,2.0,2.0,123,3.560010754970009e-21,0.020707,0.002978,0.011287,0.006442,28.730783,47
vectorized,100,500,0.4,2.0,2.0,456,1.6138506289360491e-21,0.020218,0.002589,0.009853,0.007776,15.693939,47
vectorized,100,500,0.4,2.0,2.0,789,4.294066178812571e-22,0.019433,0.003133,0.00811,0.008189,32.146386,46
vectorized,100,500,0.719,1.0,1.0,42,1.5538212767907296e-16,0.026885,0.003412,0.014546,0.008927,44.895519,8
vectorized,100,500,0.719,1.0,1.0,99,6.25079751011529e-17,0.014091,0.001701,0.007578,0.004812,115.946887,76
vectorized,100,500,0.719,1.0,1.0,123,3.4979166903340253e-16,0.010356,0.001278,0.004597,0.004481,28.891578,64
vectorized,100,500,0.719,1.0,1.0,456,1.439465420474034e-19,0.016764,0.002536,0.007544,0.006684,29.42282,47
vectorized,100,500,0.719,1.0,1.0,789,1.360501724820897e-16,0.019421,0.002716,0.009962,0.006742,16.812595,20
vectorized,100,500,0.719,1.0,1.49445,42,4.823276440933957e-16,0.037744,0.006392,0.017984,0.013368,24.34865,64
